t1 ,1dse     ,2dse    ,compressing information,compressing ratio
0.1,16.344793,3.556960,12.787833              ,0.782380
0.2,16.430182,3.842615,12.587567              ,0.766125
0.3,16.575360,4.390614,12.184746              ,0.735112
0.4,16.702959,4.847759,11.855200              ,0.709766
0.5,16.798546,5.174812,11.623734              ,0.691949
0.6,16.868418,5.406639,11.461779              ,0.679482
0.7,16.920232,5.578573,11.341658              ,0.670302
0.8,16.959596,5.710586,11.249010              ,0.663283
0.9,16.990255,5.815722,11.174533              ,0.657703
1.0,17.014681,5.899924,11.114757              ,0.653245
1.2,17.050941,6.027439,11.023502              ,0.646504
1.5,17.086460,6.156154,10.930306              ,0.639706
2.0,17.120820,6.302576,10.818244              ,0.631877
3.0,17.153246,6.505039,10.648207              ,0.620769
4.0,17.168219,6.645765,10.522454              ,0.612903
5.0,17.176574,6.753025,10.423549              ,0.606847